CleanArea,CombinedArea,Country,lat,lng
Cape Haitien,"Cape Haitien, HAITI",HAITI,19.7595236,-72.2008068
Halifax,"Halifax, CANADA",CANADA,44.648618,-63.5859487
Turtle Bogue,"Turtle Bogue, COSTA RICA",COSTA RICA,10.0,-84.0
San Domingo in the West Indies,"San Domingo in the West Indies, SAN DOMINGO",SAN DOMINGO,9.98123,-84.08984
Colon,"Colon, PANAMA",PANAMA,9.3553005,-79.8974085
Ireland,"Ireland, IRELAND",IRELAND,52.865196,-7.9794599
Mediterranean Sea,"Mediterranean Sea, LIBYA",LIBYA,31.27624,16.0200338
Gran Canaria,"Gran Canaria, SPAIN",SPAIN,27.9580004,-15.6062305
Apolima Strait,"Apolima Strait, SAMOA",SAMOA,-13.8043645,-172.1797217
Essequibo,"Essequibo, GUYANA",GUYANA,1.4229608,-58.8498104
Lagos,"Lagos, NIGERIA",NIGERIA,6.4550575,3.3941795
Trieste,"Trieste, ITALY",ITALY,45.6504806,13.7931263
aint Denis,"aint Denis, REUNION",REUNION,-21.10084,55.60344
Balearics,"Balearics, SPAIN",SPAIN,40.0,-4.0
M laga,"M laga, SPAIN",SPAIN,43.0915255,-7.3745188
Georges Bank,"Georges Bank, NORTH ATLANTIC OCEAN",NORTH ATLANTIC OCEAN,40.0,-40.0
Zambesi River,"Zambesi River, MOZAMBIQUE",MOZAMBIQUE,-18.25,35.0
Col n Province,"Col n Province, PANAMA",PANAMA,-21.2611192,165.2448142
Singapore,"Singapore, INDONESIA",INDONESIA,1.2406689,104.2017717
Andalucia,"Andalucia, SPAIN",SPAIN,37.3399964,-4.5811614
Sfax,"Sfax, TUNISIA",TUNISIA,34.7231273,10.3358789
South Atlantic Ocean,"South Atlantic Ocean, SOUTH AFRICA",SOUTH AFRICA,-29.0,24.0
Gulf of Suez,"Gulf of Suez, EGYPT",EGYPT,28.7037243,33.0203809
Tiburon Peninsula,"Tiburon Peninsula, HAITI",HAITI,18.3438442,-73.2144251
English Channel,"English Channel, ENGLAND",ENGLAND,50.780805,-0.678208
Oaxaca,"Oaxaca, MEXICO",MEXICO,17.0,-96.5
Harare Province,"Harare Province, MALTA",MALTA,-17.8332923,31.0696444
Kh nh H a Province,"Kh nh H a Province, VIETNAM",VIETNAM,16.16667,107.83333
Aden,"Aden, YEMEN ",YEMEN ,12.789585,45.028504
Maluku Province,"Maluku Province, INDONESIA",INDONESIA,-3.6943442,128.1826129
Suez Canal,"Suez Canal, EGYPT",EGYPT,30.8759943,29.3429726
Nusa Tenggara,"Nusa Tenggara, INDONESIA",INDONESIA,-9.0,120.0
Noumea Sydney,"Noumea Sydney, INDIAN OCEAN",INDIAN OCEAN,-10.0,70.0
Villa Clara Province,"Villa Clara Province, CUBA",CUBA,22.4038917,-79.9646297
Ancona Province,"Ancona Province, ITALY",ITALY,43.6170137,13.5170982
Quezon,"Quezon, PHILIPPINES",PHILIPPINES,13.9,122.0
Rio San Juan,"Rio San Juan, NICARAGUA",NICARAGUA,11.2124304,-84.4111352
Mediterranean Sea,"Mediterranean Sea, EGYPT",EGYPT,27.1203268,33.8251556
Cyprus,"Cyprus, CYPRUS",CYPRUS,34.9823018,33.1451285
Syracuse,"Syracuse, ITALY",ITALY,37.0646139,15.2907196
Viscayas,"Viscayas, PHILIPPINES",PHILIPPINES,13.0,122.0
Mindoro Occidental,"Mindoro Occidental, PHILIPPINES",PHILIPPINES,13.0000021,120.9166666
Mediterranean Sea,"Mediterranean Sea, EGYPT ",EGYPT ,27.1203268,33.8251556
Negros,"Negros, PHILIPPINES",PHILIPPINES,10.0206764,122.9771132
Imperia Province,"Imperia Province, ITALY",ITALY,43.8862958,8.0267106
Muala,"Muala, FIJI",FIJI,-18.0,178.0
coast,"coast, USA",USA,37.858337,-122.2447394
Ratak,"Ratak, MARSHALL ISLANDS",MARSHALL ISLANDS,12.2485782,170.1391208
Socotra Islands,"Socotra Islands, YEMEN ",YEMEN ,15.5,47.5
Moluccas,"Moluccas, INDONESIA",INDONESIA,-3.118837,129.4207759
Bocas del Toro,"Bocas del Toro, PANAMA",PANAMA,9.3040914,-82.1284388
Provence,"Provence, FRANCE",FRANCE,43.3207927,5.368437
Bay of Campeche,"Bay of Campeche, MEXICO",MEXICO,20.0,-92.5
Rangoon,"Rangoon, BURMA",BURMA,16.7967129,96.1609916
Bay of Bengal,"Bay of Bengal, INDIA",INDIA,24.0,88.0
Bayelsa State,"Bayelsa State, NIGERIA",NIGERIA,4.7629786,6.028898
Norfolk Island,"Norfolk Island, AUSTRALIA",AUSTRALIA,-29.0289575,167.9587289
Brittany,"Brittany, FRANCE",FRANCE,48.2640845,-2.9202408
Line Islands,"Line Islands, KIRIBATI",KIRIBATI,1.8709602,-157.4351585
Woodlark Islands,"Woodlark Islands, BRITISH NEW GUINEA",BRITISH NEW GUINEA,-5.0,140.0
Munxar Reef,"Munxar Reef, MALTA",MALTA,41.92975,-88.86092
Northern Peloponnese,"Northern Peloponnese, GREECE",GREECE,38.2490934,21.760749
Perth Colombo,"Perth Colombo, INDIAN OCEAN",INDIAN OCEAN,-10.0,70.0
Gujarat,"Gujarat, INDIA",INDIA,22.3850008,71.7452633
Lukovo,"Lukovo, CROATIA",CROATIA,44.8553134,14.8927325
Cort s,"Cort s, HONDURAS",HONDURAS,15.0,-86.5
Hiogo Japan,"Hiogo Japan, OCEAN",OCEAN,39.866,-74.25003
C te d Azur,"C te d Azur, FRANCE",FRANCE,43.8,-1.3
Maldonado coast,"Maldonado coast, URUGUAY",URUGUAY,-33.0,-56.0
Andaman Islands,"Andaman Islands, INDIA",INDIA,12.6112387,92.8316541
Misamis Oriental,"Misamis Oriental, PHILIPPINES",PHILIPPINES,8.72,124.84
Strait of Messina,"Strait of Messina, ITALY",ITALY,38.1099034,15.5776901
Hoogly River,"Hoogly River, INDIA",INDIA,22.545643,88.3129818
Mount Lebanon,"Mount Lebanon, LEBANON",LEBANON,34.29,36.092
Hastings Fairlight Sussex,"Hastings Fairlight Sussex, ENGLAND",ENGLAND,50.8743212,0.6425133
Gilbert Islands,"Gilbert Islands, KIRIBATI",KIRIBATI,-1.8722724,175.5574185
Lomaiviti Province,"Lomaiviti Province, Fiji",Fiji,-17.7990458,177.4075318
South America,"South America, SOUTH ATLANTIC OCEAN",SOUTH ATLANTIC OCEAN,-45.0,-15.0
N E,"N E, INDIA",INDIA,27.4188107,80.1206928
Matanzas Province north coast,"Matanzas Province north coast, CUBA",CUBA,22.0,-79.5
Alpes Maritime,"Alpes Maritime, FRANCE",FRANCE,43.5825651,7.1230176
Edinburgh,"Edinburgh, SCOTLAND",SCOTLAND,55.9533456,-3.1883749
Eastern Catalona,"Eastern Catalona, SPAIN",SPAIN,40.0,-4.0
Mauritius,"Mauritius, MAURITIUS",MAURITIUS,-20.2759451,57.5703566
Foveaux Strait,"Foveaux Strait, NEW ZEALAND",NEW ZEALAND,-46.5833,168.0
Sumatra,"Sumatra, INDONESIA",INDONESIA,-0.142924,101.6241432
Conakry Region,"Conakry Region, GUINEA",GUINEA,9.60703,-13.597
Malaga,"Malaga, SPAIN",SPAIN,36.7213028,-4.4216366
Bonin Islands,"Bonin Islands, JAPAN",JAPAN,24.7793713,141.3199349
Fernando Po Island,"Fernando Po Island, EQUATORIAL GUINEA / CAMEROON",EQUATORIAL GUINEA / CAMEROON,5.0,10.0
Mangaia Island,"Mangaia Island, COOK ISLANDS",COOK ISLANDS,-21.9249916,-157.9212841
Australia USA,"Australia USA, PACIFIC OCEAN",PACIFIC OCEAN,-33.7881018,151.1797376
Tongatapu,"Tongatapu, TONGA",TONGA,-21.1678253,-175.2738691
Norfolk,"Norfolk, ENGLAND",ENGLAND,52.666667,1.0
Island of St Thomas,"Island of St Thomas, Coast of AFRICA",Coast of AFRICA,7.1881,21.09375
Cumberland,"Cumberland, ENGLAND",ENGLAND,53.0968348,-0.5251732
Sanma Province,"Sanma Province, VANUATU",VANUATU,-15.5142727,167.1770871
,", TASMAN SEA",TASMAN SEA,-40.0,160.0
CUBA,"CUBA, USA",USA,39.802781,-97.455872
Paraiba,"Paraiba, BRAZIL",BRAZIL,-7.1219366,-36.7246845
Cape Coast,"Cape Coast, GHANA",GHANA,5.107467,-1.2430793
Rivers State,"Rivers State, NIGERIA",NIGERIA,4.8416028,6.8604088
Maharashtra,"Maharashtra, INDIA",INDIA,18.9068356,75.6741579
St Anne,"St Anne, SEYCHELLES",SEYCHELLES,-4.6059735,55.5042448
Sussex,"Sussex, ENGLAND",ENGLAND,50.9445139,-0.0622673
Skagerrak,"Skagerrak, SWEDEN",SWEDEN,62.0,15.0
Las Perlas archipelago,"Las Perlas archipelago, PANAMA",PANAMA,8.39087,-79.02603
Bardestrand,"Bardestrand, ICELAND",ICELAND,65.0,-18.0
Southwest coast,"Southwest coast, BARBADOS",BARBADOS,13.16667,-59.53333
Kerala,"Kerala, INDIA",INDIA,10.3528744,76.5120396
Nice Marseilles,"Nice Marseilles, FRANCE",FRANCE,43.29695,5.38107
Magarita or Cubagua Islands,"Magarita or Cubagua Islands, VENEZUELA",VENEZUELA,8.0,-66.0
Piraeus,"Piraeus, GREECE",GREECE,37.9431594,23.6470593
Bocas del Toro Province,"Bocas del Toro Province, PANAMA",PANAMA,9.2425235,-82.3522241
Gulf of Tadjoura,"Gulf of Tadjoura, DJIBOUTI",DJIBOUTI,11.7215355,42.9717959
Cyrenaica,"Cyrenaica, LIBYA",LIBYA,32.7087595,20.9506691
Northern Province,"Northern Province, SRI LANKA",SRI LANKA,9.28,80.2871778
Los Roques Islands,"Los Roques Islands, VENEZUELA",VENEZUELA,8.0,-66.0
Dodecanese Islands,"Dodecanese Islands, GREECE",GREECE,36.0,27.0
Malaita Province,"Malaita Province, SOLOMON ISLANDS",SOLOMON ISLANDS,-8.9833335,161.0511596
South Korea,"South Korea, KOREA",KOREA,36.638392,127.6961188
Island of Volos,"Island of Volos, GREECE",GREECE,39.3624833,22.9401864
Amirante Islands,"Amirante Islands, SEYCHELLES",SEYCHELLES,-6.0,53.16667
Toamasina Province,"Toamasina Province, MADAGASCAR",MADAGASCAR,-17.7507964,48.7524743
Riau Province,"Riau Province, INDONESIA",INDONESIA,-1.6342492,106.0051002
Bikini,"Bikini, MARSHALL ISLANDS",MARSHALL ISLANDS,11.6243088,165.5505464
New Ireland New Britain,"New Ireland New Britain, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.7373,150.54406
Ba Ria Vung Tau Province,"Ba Ria Vung Tau Province, VIETNAM",VIETNAM,10.5819798,107.2899841
Moala Island,"Moala Island, FIJI",FIJI,-18.6107187,179.8680733
Eastern Province,"Eastern Province, CEYLON (SRI LANKA)",CEYLON (SRI LANKA),7.8776642,80.6624095
