,Country,Area,Prediction,Actual
68,USA,Florida,N,N
69,PHILIPPINES,200 nm southeast of Manila,N,Y
70,AUSTRALIA,Queensland,N,UNKNOWN
71,USA,Hawaii,N,N
72,SOUTH AFRICA,Western Cape Province,N,N
73,USA,California,N,N
74,NEW CALEDONIA,UNKNOWN,N,N
75,AUSTRALIA,Torres Strait,N,N
76,NEW CALEDONIA,UNKNOWN,N,Y
77,USA,Florida,N,N
78,USA,Florida,N,N
79,USA,Hawaii,N,N
80,AUSTRALIA,Queensland,N,N
81,USA,Florida,N,N
82,NEW CALEDONIA,UNKNOWN,N,Y
83,USA,Florida,N,N
84,NEW CALEDONIA,UNKNOWN,N,N
85,BRAZIL,Pernambuco,N,N
86,SPAIN,Alicante,N,UNKNOWN
87,USA,Florida,N,N
88,USA,Hawaii,N,Y
89,VIETNAM,Ba Ria-Vung Tau  Province,N,N
90,SOUTH AFRICA,KwaZulu-Natal,N,Y
91,BERMUDA,Hamilton,N,UNKNOWN
92,AUSTRALIA,Queensland,N,Y
93,AUSTRALIA,Queensland,N,N
94,USA,Hawaii,N,N
95,USA,South Carolina,N,N
96,USA,Hawaii,N,N
97,AUSTRALIA,Western Australia,N,N
98,USA,California,N,N
99,AUSTRALIA,Torres Strait ,N,Y
100,AUSTRALIA,Western Australia,N,N
101,USA,Delaware,N,N
102,AUSTRALIA,Western Australia,N,N
103,FIJI,Lomaiviti  Island Group,N,N
104,SOUTH AFRICA,KwaZulu-Natal,N,UNKNOWN
105,AUSTRALIA,Torres Strait,N,N
106,USA,Hawaii,N,UNKNOWN
107,USA,Florida,N,N
108,SOUTH AFRICA,Eastern Cape Province,N,N
109,USA,Florida,N,N
110,BAHAMAS,Grand Bahama Island,N,N
111,USA,California,N,N
112,USA,Florida,N,N
113,NEW ZEALAND,North Island,N,UNKNOWN
114,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
115,AUSTRALIA,New South Wales,N,N
116,BRAZIL,Pernambuco,N,N
117,USA,Hawaii,N,N
118,AUSTRALIA,Torres Strait,N,N
119,AUSTRALIA,Western Australia,N,UNKNOWN
120,NEW CALEDONIA,UNKNOWN,N,N
121,AUSTRALIA,South Australia,N,N
122,USA,Florida,N,UNKNOWN
123,PAPUA NEW GUINEA,"Abau Sub District, Central Province",N,Y
124,USA,Florida,N,N
125,JAMAICA,Kingston Parish,N,Y
126,USA,Florida,N,N
127,AUSTRALIA,Western Australia,N,Y
128,JAPAN,Okayama Prefecture,N,Y
129,MARSHALL ISLANDS,Alinglaplap Atoll,N,N
130,USA,South Carolina,N,UNKNOWN
131,CUBA,Havana Province,N,UNKNOWN
132,SPAIN,Catalonia,N,N
133,AUSTRALIA,New South Wales,N,N
134,REUNION,Saint-Benoit,N,N
135,USA,Florida,N,N
136,SOUTH AFRICA,Eastern Cape Province,N,N
137,BAHAMAS,New Providence District,N,N
138,USA,Hawaii,N,N
139,BAHAMAS,Eleuthera,N,N
140,SOUTH AFRICA,Western Cape Province,N,N
141,NEW CALEDONIA,UNKNOWN,N,N
142,USA,Florida,N,N
143,MEXICO,Tamaulipas,N,N
144,USA,Florida,N,N
145,USA,Florida,N,N
146,USA,Florida,N,UNKNOWN
147,CHILE,Los Vilos,N,Y
148,NEW CALEDONIA,UNKNOWN,N,N
149,COSTA RICA,Guanacaste,N,N
150,AUSTRALIA,Westerm Australia,N,N
151,JAMAICA,St. Catherine,N,Y
152,USA,Florida,N,Y
153,USA,California,N,N
154,AUSTRALIA,Victoria,N,UNKNOWN
155,USA,Georgia,N,N
156,USA,Florida,N,N
157,AUSTRALIA,Queensland,N,N
158,USA,South Carolina,N,N
159,AUSTRALIA,New South Wales,N,UNKNOWN
160,USA,North Carolina,N,N
161,SOUTH AFRICA,KwaZulu-Natal,N,N
162,SOUTH AFRICA,KwaZulu-Natal,N,N
163,AUSTRALIA,Western Australia,N,N
164,SWEDEN,Skagerrak arm of the North Sea,N,UNKNOWN
165,SOUTH AFRICA,Western Cape Province,N,N
166,USA,Florida,N,N
167,MOZAMBIQUE,Gaza,N,N
168,USA,New York,N,N
169,NEW CALEDONIA,UNKNOWN,N,N
170,SOUTH AFRICA,Eastern Cape Province,N,N
171,SOUTH AFRICA,Western Cape Province,N,N
172,USA,Alabama,N,N
173,AUSTRALIA,New South Wales,N,Y
174,BAHAMAS,Abaco Islands,N,N
175,JAPAN,Kochi Prefecture,N,N
176,PALAU,Western Caroline Islands,N,N
177,IRAN,Khuzestan Province,N,Y
178,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",N,N
179,AUSTRALIA,New South Wales,N,N
180,USA,Florida,N,N
181,USA,Florida,N,N
182,SOUTH AFRICA,Eastern Cape Province,N,Y
183,USA,Florida,N,N
184,ITALY,Tyrrhenian Sea,N,N
185,USA,Florida,N,N
186,USA,Texas,N,N
187,SOUTH AFRICA,Western Cape Province,N,Y
188,SOUTH AFRICA,Eastern Cape Province,N,UNKNOWN
189,AUSTRALIA,Queensland,N,UNKNOWN
190,SENEGAL,Casamance,N,N
191,SOUTH AFRICA,KwaZulu-Natal,N,N
192,PAPUA NEW GUINEA,Central Province,N,N
193,BRAZIL,Pernambuco,N,N
194,NEW ZEALAND,North Island,N,N
195,USA,Oregon,N,N
196,AUSTRALIA,New South Wales,N,N
197,JAPAN,Southern Japan,N,N
198,USA,Hawaii,N,N
199,SOUTH AFRICA,KwaZulu-Natal,N,N
200,AUSTRALIA,Queensland,N,N
201,AUSTRALIA,South Australia,N,N
202,USA,California,N,N
203,AUSTRALIA,New South Wales,N,N
204,BRAZIL,Pernambuco,N,Y
205,SOUTH AFRICA,Western Cape Province,N,N
206,HONDURAS,Bay Islands,N,UNKNOWN
207,USA,Hawaii,N,Y
208,YEMEN,Aden,N,Y
209,USA,South Carolina,N,UNKNOWN
210,NEW CALEDONIA,Loyalty Islands,N,N
211,USA,Florida,N,N
212,AUSTRALIA,New South Wales,N,N
213,USA,New Jersey,N,N
214,AUSTRALIA,Northern Territory,N,N
215,PORTUGAL,Madeira,N,Y
216,AUSTRALIA,Queensland,N,Y
217,AUSTRALIA,New South Wales,N,N
218,SOUTH AFRICA,KwaZulu-Natal,N,N
219,USA,Texas,N,N
220,BRAZIL,Rio Grande Do Sul,N,N
221,SOUTH AFRICA,Western Cape Province,N,N
222,AUSTRALIA,Victoria,N,N
223,EGYPT,South Sinai Peninsula,N,Y
224,BERMUDA,Hamilton,N,N
225,USA,Texas,N,N
226,AUSTRALIA,Queensland,N,N
227,USA,South Carolina,N,N
228,PAPUA NEW GUINEA,Madang Province,N,N
229,SOUTH AFRICA,Western Cape Province,N,N
230,PHILIPPINES,Luzon Island,N,N
231,USA,Virginia,N,N
232,BRAZIL,Pernambuco,N,Y
233,BAHAMAS,Andros Islands,N,N
234,USA,Texas,N,N
235,PHILIPPINES,Palawan,N,Y
236,USA,Florida,N,N
237,USA,Hawaii,N,N
238,SOUTH AFRICA,Eastern Cape Province,N,N
239,SOUTH AFRICA,Eastern Cape Province,N,N
240,PAPUA NEW GUINEA,Madang Province,N,Y
241,AUSTRALIA,Queensland,N,N
242,SPAIN,Eastern Catalona,N,Y
243,NEW CALEDONIA,UNKNOWN,N,Y
244,USA,Florida,N,N
245,NEW CALEDONIA,UNKNOWN,N,N
246,AUSTRALIA,Victoria,N,N
247,USA,New York,N,UNKNOWN
248,USA,Florida,N,N
249,NEW CALEDONIA,UNKNOWN,N,Y
250,USA,California,N,N
251,TANZANIA,Dar-es-Salaam ,N,N
252,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,N,UNKNOWN
253,ITALY,Tyrrhenian Sea,N,N
254,USA,South Carolina,N,N
255,USA,New York,N,UNKNOWN
256,AUSTRALIA,Torres Strait,N,Y
257,USA,Florida,N,N
258,VENEZUELA,Anzoategui,N,N
259,SOUTH AFRICA,Eastern Province,N,N
260,SOUTH AFRICA,Western Cape Province,N,N
261,USA,Florida,N,N
262,USA,Hawaii,N,UNKNOWN
263,USA,Hawaii,N,UNKNOWN
264,USA,Puerto Rico,N,N
265,AUSTRALIA,New South Wales,N,N
266,PANAMA,San Carlos,N,N
267,NEW CALEDONIA,UNKNOWN,N,N
268,USA,Florida,N,N
269,USA,Florida,N,N
270,SOUTH AFRICA,KwaZulu-Natal,N,N
271,USA,California,N,N
272,NEW CALEDONIA,UNKNOWN,N,N
273,MOZAMBIQUE,Gaza,N,Y
274,AUSTRALIA,Queensland,N,Y
275,USA,North Carolina,N,UNKNOWN
276,AUSTRALIA,New South Wales,N,UNKNOWN
277,AUSTRALIA,Torres Strait,N,N
278,AUSTRALIA,New South Wales,N,N
279,USA,Hawaii,N,N
280,AUSTRALIA,New South Wales,N,N
281,AUSTRALIA,Queensland,N,UNKNOWN
282,USA,Oregon,N,N
283,SOUTH AFRICA,Western Cape Province,N,N
284,SOUTH AFRICA,Eastern Province,N,UNKNOWN
285,SOUTH AFRICA,KwaZulu-Natal,N,N
286,AUSTRALIA,New South Wales,N,N
287,USA,Florida,N,N
288,AUSTRALIA,New South Wales,N,N
289,PAPUA NEW GUINEA,Central Province,N,Y
290,ITALY,Ancona Province,N,Y
291,NEW CALEDONIA,UNKNOWN,N,Y
292,AUSTRALIA,Queensland,N,N
293,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
294,AUSTRALIA,New South Wales,N,UNKNOWN
295,USA,Florida,N,N
296,CANADA,Newfoundland,N,N
297,AUSTRALIA,New South Wales,N,Y
298,SENEGAL,Cap-Vert Peninsula,N,Y
299,AUSTRALIA,Queensland,N,Y
300,SOUTH AFRICA,Western Cape Province,N,Y
301,ITALY,Liguria,N,N
302,SOUTH AFRICA,Eastern Cape Province,N,N
303,AUSTRALIA,Queensland,N,N
304,SOMALIA,Banaadir Region,N,Y
305,USA,Hawaii,N,UNKNOWN
306,AUSTRALIA,Victoria,N,N
307,PANAMA,Bocas del Toro,N,Y
308,USA,US Virgin Islands,N,N
309,AUSTRALIA,Queensland,N,N
310,USA,Florida,N,N
311,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,N,N
312,USA,California,N,N
313,FIJI,Vitu Levu,N,N
314,USA,California,N,N
315,AUSTRALIA,Queensland,N,N
316,USA,Hawaii,N,N
317,NEW CALEDONIA,UNKNOWN,N,Y
318,AUSTRALIA,New South Wales,N,N
319,USA,Hawaii,N,UNKNOWN
320,AUSTRALIA,Queensland,N,N
321,USA,Florida,N,N
322,BAHAMAS,New Providence Island,N,N
323,PANAMA,Panama Bay (Pacific Ocean),N,Y
324,AUSTRALIA,Westerm Australia,N,N
325,HONG KONG,Mirs Bay ,N,N
326,NEW CALEDONIA,UNKNOWN,N,Y
327,USA,Puerto Rico,N,Y
328,USA,Georgia,N,N
329,USA,Florida,N,N
330,AUSTRALIA,New South Wales,N,N
331,NEW ZEALAND,North Island,N,Y
332,USA,Florida,N,N
333,USA,Florida,N,N
334,AUSTRALIA,Queensland,N,Y
335,USA,Florida,N,N
336,PAPUA NEW GUINEA,Milne Bay Province,N,Y
337,SCOTLAND,Argyllshire,N,N
338,USA,Hawaii,N,N
339,MARSHALL ISLANDS,Ralik Chain,N,N
340,AUSTRALIA,Queensland,N,N
341,NEW CALEDONIA,UNKNOWN,N,N
342,IRAQ,Basrah,N,N
343,USA,Florida,N,UNKNOWN
344,USA,South Carolina,N,UNKNOWN
345,SOUTH AFRICA,KwaZulu-Natal,N,N
346,SOUTH AFRICA,Eastern Province,N,N
347,BAHAMAS,Grand Bahama Island,N,N
348,IRAQ,Basrah,N,N
349,USA,South Carolina,N,N
350,AUSTRALIA,New South Wales,N,N
351,USA,Florida,N,UNKNOWN
352,USA,Florida,N,N
353,AUSTRALIA,New South Wales,N,N
354,USA,California,N,N
355,BRAZIL,Pernambuco,N,Y
356,NEW BRITAIN,East New Britain Province,N,N
357,AUSTRALIA,New South Wales,N,N
358,USA,Florida,N,N
359,USA,Florida,N,N
360,USA,Hawaii,N,UNKNOWN
361,AUSTRALIA,New South Wales,N,Y
362,NEW CALEDONIA,UNKNOWN,N,Y
363,NEW CALEDONIA,UNKNOWN,N,N
364,USA,Florida,N,N
365,AUSTRALIA,New South Wales,N,Y
366,SOUTH AFRICA,Western Cape Province,N,UNKNOWN
367,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
368,USA,California,N,N
369,BAHAMAS,Abaco Islands,N,N
370,IRAN,Shatt-al-Arab River,N,N
371,SOUTH AFRICA,KwaZulu-Natal,N,UNKNOWN
372,NEW CALEDONIA,UNKNOWN,N,N
373,USA,Florida,N,N
374,USA,Florida,N,N
375,UNKNOWN,French Southern Territories,N,Y
376,USA,Florida,N,N
377,AUSTRALIA,Western Australia,N,UNKNOWN
378,AUSTRALIA,South Australia,N,N
379,SOUTH AFRICA,KwaZulu-Natal,N,UNKNOWN
380,SOUTH AFRICA,KwaZulu-Natal,N,Y
381,AUSTRALIA,New South Wales,N,N
382,USA,Florida,N,N
383,USA,Hawaii,N,UNKNOWN
384,USA,Hawaii,N,N
385,AUSTRALIA,Torres Strait,N,N
386,AUSTRALIA,Victoria,N,Y
387,USA,Florida,N,N
388,AUSTRALIA,New South Wales,N,N
389,AUSTRALIA,New South Wales,N,N
390,AUSTRALIA,New South Wales,N,Y
391,AUSTRALIA,Western Australia,N,Y
392,USA,North Carolina,N,N
393,AUSTRALIA,New South Wales,N,N
394,PERSIAN GULF,"""Head of the Gulf""",N,N
395,INDIA,Tamil Nadu,N,UNKNOWN
396,USA,California,N,N
397,AUSTRALIA,New South Wales,N,N
398,USA,Hawaii,N,N
399,USA,Florida,N,N
400,USA,Florida,N,N
401,AUSTRALIA,Western Australia,N,N
402,PAPUA NEW GUINEA,New Britain,N,Y
403,USA,Florida,N,N
404,SOUTH AFRICA,Western Cape Province,N,N
405,USA,Hawaii,N,Y
406,USA,South Carolina,N,N
407,USA,Florida,N,N
408,USA,Hawaii,N,Y
409,NEW CALEDONIA,UNKNOWN,N,N
410,NEW CALEDONIA,UNKNOWN,N,Y
411,USA,California,N,N
412,AUSTRALIA,Queensland,N,Y
413,USA,Florida,N,N
414,SOUTH AFRICA,Western Cape Province,N,N
415,USA,Hawaii,N,Y
416,AUSTRALIA,Victoria,N,N
417,NEW ZEALAND,North Island,N,Y
418,SOUTH AFRICA,Western Cape Province,N,N
419,MADAGASCAR,Toamasina Province,N,Y
420,GREECE,Corfu Island,N,Y
421,CROATIA, Split-Dalmatia County,N,N
422,BAHAMAS,Abaco Islands,N,N
423,AUSTRALIA,Queensland,N,N
424,AUSTRALIA,New South Wales,N,N
425,USA,South Carolina,N,N
426,USA,California,N,N
427,USA,Louisiana,N,N
428,NEW CALEDONIA,UNKNOWN,N,N
429,AUSTRALIA,Western Australia,N,N
430,AUSTRALIA,Queensland,N,N
431,USA,Florida,N,N
432,AUSTRALIA,Queensland,N,UNKNOWN
433,THAILAND,Hua Hin,N,N
434,NEW CALEDONIA,UNKNOWN,N,N
435,NEW CALEDONIA,North Province,N,Y
436,UNITED KINGDOM,Isle of Wight,N,N
437,AUSTRALIA,Victoria,N,N
438,AUSTRALIA,Queensland,N,N
439,AUSTRALIA,Western Australia,N,N
440,AUSTRALIA,Western Australia,N,UNKNOWN
441,USA,Florida,N,N
442,USA,Florida,N,N
443,AUSTRALIA,Queensland,N,N
444,NEW CALEDONIA,UNKNOWN,N,Y
445,NEW CALEDONIA,UNKNOWN,N,N
446,NEW CALEDONIA,UNKNOWN,N,UNKNOWN
447,NEW CALEDONIA,UNKNOWN,N,Y
448,NEW CALEDONIA,UNKNOWN,N,N
449,CUBA,Guantanamo Province,N,N
450,AUSTRALIA,New South Wales,N,Y
451,NEW ZEALAND,North Island,N,Y
452,NEW CALEDONIA,UNKNOWN,N,N
453,LIBYA,Mediterranean Sea,N,N
454,MID ATLANTIC OCEAN,165  miles from Bermuda,N,N
455,SUDAN,Red Sea State,N,N
456,BAHAMAS,Out Islands,N,N
457,INDIA,Kerala,N,UNKNOWN
458,MONACO,Bay of Monaco,N,Y
459,AUSTRALIA,Queensland,N, N
460,NEW ZEALAND,North Island,N,N
461,USA,Florida,N,N
462,USA,Florida,N,N
463,BRAZIL,Alagoas,N,N
464,PAPUA NEW GUINEA,Central Province,N,N
465,USA,Hawaii,N,Y
466,SOUTH AFRICA,Eastern Cape Province,N,N
467,VANUATU,Malampa Province,N,N
468,REUNION,Sainte-Suzanne,N,Y
469,AUSTRALIA,Tasmania,N,N
470,USA,Florida,N,N
471,USA,Hawaii,N,N
472,AUSTRALIA,Queensland,N,N
473,USA,Florida,N,N
474,AUSTRALIA,New South Wales,N,N
475,UNKNOWN,Between Comores & Madagascar,N,Y
476,USA,Florida,N,N
477,BRAZIL,Pernambuco,N,N
478,GUAM,Merizo,N,UNKNOWN
479,NEW ZEALAND,"South Island, near Karitane north of Dunedin",N,N
480,USA,Florida,N,N
481,USA,Delaware,N,N
482,AUSTRALIA,Victoria,N,N
483,YEMEN,Aden,N,UNKNOWN
484,USA,Florida,N,Y
485,USA,Florida,N,N
486,AUSTRALIA,New South Wales,N,Y
487,NEW CALEDONIA,UNKNOWN,N,N
488,AUSTRALIA,Northern Territory,N,N
489,USA,Florida,N,N
490,USA,Mississippi,N,Y
491,AUSTRALIA,New South Wales,N,Y
492,SOUTH AFRICA,KwaZulu-Natal,N,Y
493,USA,New Jersey,N,Y
494,BAHAMAS,Walkers Cay,N,N
495,USA,California,N,N
496,TRINIDAD & TOBAGO,Trinidad,N,UNKNOWN
497,MEXICO,Veracruz,N,Y
498,AUSTRALIA,New South Wales,N,N
499,USA,New Jersey,N,N
500,AUSTRALIA,Victoria,N,N
501,USA,Texas,N,N
502,USA,Florida,N,Y
503,AUSTRALIA,New South Wales,N,N
504,AUSTRALIA,Western Australia,N,N
505,SOUTH AFRICA,KwaZulu-Natal,N,N
506,AUSTRALIA,Western Australia,N,Y
507,AUSTRALIA,New South Wales,N,N
508,AUSTRALIA,Queensland,N,Y
509,AUSTRALIA,New South Wales,N,N
510,SOUTH AFRICA,Eastern Cape Province,N,N
511,AUSTRALIA,New South Wales,N,N
512,AUSTRALIA,Queensland,N,N
513,USA,New York ,N,UNKNOWN
514,GREECE,Attica,N,Y
515,JAMAICA,Westmoreland Parish,N,N
516,USA,Florida,N,N
517,FRENCH POLYNESIA,Tuamotus,N,N
518,USA,Florida,N,N
519,SOUTH AFRICA,Western Cape Province,N,N
520,AUSTRALIA,Tasmania,N,N
521,NEW ZEALAND,North Island,N,N
522,AUSTRALIA,New South Wales,N,N
523,PALAU,Aulong Island,N,N
524,AUSTRALIA,New South Wales,N,N
525,SPAIN,Canary Islands,N,N
526,USA,Hawaii,N,N
527,INDONESIA,Bali,N,N
528,USA,Florida,N,N
529,NEW CALEDONIA,UNKNOWN,N,Y
530,NEW CALEDONIA,UNKNOWN,N,N
531,USA,Florida,N,N
532,USA,Florida,N,N
533,Fiji,Vanua Levu,N,N
534,SOLOMON ISLANDS,Ysabel Island,N,Y
535,USA,Florida,N,N
536,ITALY,Sardinia,N,UNKNOWN
537,AUSTRALIA,South Australia,N,Y
538,USA,Florida,N,N
539,CUBA,Havana Province,N,Y
540,NEW CALEDONIA,UNKNOWN,N,N
541,USA,Florida,N,N
542,SOUTH AFRICA,KwaZulu-Natal,N,N
543,USA,California,N,N
544,USA,South Carolina,N,N
545,AUSTRALIA,New South Wales,N,N
546,AUSTRALIA,New South Wales,N,N
547,USA,Florida,N,N
548,AUSTRALIA,New South Wales,N,Y
549,ECUADOR,Galapagos Islands,N,N
550,PAPUA NEW GUINEA,Bougainville (North Solomons),N,N
551,AUSTRALIA,New South Wales,N,N
552,AUSTRALIA,Victoria,N,Y
553,SOUTH AFRICA,Western Cape Province,N,N
554,JAPAN,Ryukyu,N,Y
555,MEXICO,Quintana Roo,N,UNKNOWN
556,USA,Hawaii,N,N
557,USA,Florida,N,UNKNOWN
558,PAPUA NEW GUINEA,Madang Province,N,Y
559,NEW ZEALAND,North Island,N,N
560,USA,North Carolina,N,Y
561,AUSTRALIA,Western Australia,N,N
562,USA,North Carolina,N,N
563,USA,Texas,N,N
564,BAHAMAS,Andros Islands,N,N
565,AUSTRALIA,New South Wales,N,N
566,USA,Florida,N,N
567,NEW CALEDONIA,UNKNOWN,N,N
568,AUSTRALIA,Victoria,N,N
569,HONG KONG,Mirs Bay ,N,N
570,CANADA,Nova Scotia,N,Y
571,NEW CALEDONIA,UNKNOWN,N,N
572,SOUTH AFRICA,KwaZulu-Natal,N,N
573,BANGLADESH,Ganges-Brahmaputra delta,N,Y
574,BAHAMAS,Grand Bahama Island,N,N
575,AUSTRALIA,Western Australia,N,N
576,NIGERIA,Bayelsa State,N,Y
577,MOZAMBIQUE,Gaza,N,N
578,COSTA RICA,Guanacaste,N,N
579,SOUTH AFRICA,KwaZulu-Natal,N,N
580,USA,Hawaii,N,N
581,AUSTRALIA,Victoria,N,N
582,AUSTRALIA,New South Wales,N,N
583,NEW CALEDONIA,UNKNOWN,N,Y
584,BRAZIL,Fernando de Noronha,N,N
585,SOUTH AFRICA,Western Cape Province,N,Y
586,AUSTRALIA,Queensland,N,N
587,AUSTRALIA,New South Wales,N,N
588,NEW ZEALAND,North Island,N,N
589,USA,Hawaii,N,N
590,NEW CALEDONIA,UNKNOWN,N,N
591,AUSTRALIA,Queensland,N,N
592,UNKNOWN,Near the Andaman & Nicobar Islands,N,Y
593,AUSTRALIA,Queensland,N,UNKNOWN
594,USA,Hawaii,N,UNKNOWN
595,SOUTH AFRICA,Eastern Cape Province,N,N
596,NEW CALEDONIA,UNKNOWN,N,Y
597,USA,South Carolina,N,N
598,USA,Massachusetts,N,Y
599,AUSTRALIA,Torres Strait,N,N
600,AUSTRALIA,South Australia,N,UNKNOWN
601,NEW CALEDONIA,UNKNOWN,N,Y
602,AUSTRALIA,Queensland,N,Y
603,USA,Florida,N,N
604,BRAZIL,Bahia,N,UNKNOWN
605,NEW CALEDONIA,UNKNOWN,N,N
606,USA,Florida,N,N
607,INDIA,Maharashtra,N,Y
608,AUSTRALIA,South Australia,N,N
609,USA,Florida,N,N
610,NEW CALEDONIA,UNKNOWN,N,N
611,USA,Florida,N,N
612,USA,Georgia,N,Y
613,SOUTH AFRICA,KwaZulu-Natal,N,N
614,USA,Florida,N,N
615,NEW CALEDONIA,UNKNOWN,N,N
616,USA,Hawaii,N,N
617,NEW ZEALAND,North Island,N,N
618,USA,Florida,N,N
619,USA,East coast,N,N
620,USA,North Carolina,N,N
621,COSTA RICA,Puntarenas Province,N,Y
622,USA,Florida,N,UNKNOWN
623,AUSTRALIA,Western Australia,N,N
624,AUSTRALIA,Western Australia,N,N
625,NEW CALEDONIA,UNKNOWN,N,Y
626,JAMAICA,Kingston Parish,N,N
627,AUSTRALIA,New South Wales,N,N
628,SOLOMON ISLANDS,Honiara,N,Y
629,UNITED KINGDOM,South Devon,N,N
630,BRAZIL,Pernambuco,N,Y
631,USA,Florida,N,N
632,NEW CALEDONIA,South Province,N,N
633,LIBYA,Mediterranean Sea,N,N
634,USA,Hawaii,N,Y
635,USA,California,N,N
636,SOUTH AFRICA,Eastern Cape Province,N,N
637,USA,California,N,N
638,USA,Florida,N,N
639,USA,California,N,N
640,USA,Florida,N,N
641,USA,Florida,N,N
642,MEXICO,Guerrrero,N,UNKNOWN
643,UNITED KINGDOM,Isle of Wight,N,UNKNOWN
644,USA,Florida,N,N
645,USA,Florida,N,N
646,USA,Florida,N,N
647,USA,Hawaii,N,N
648,USA,Florida,N,N
649,USA,Florida,N,N
650,PAPUA NEW GUINEA,"Abau Subdistrict,Central Province",N,Y
651,AUSTRALIA,Queensland,N,N
652,USA,California,N,N
653,AUSTRALIA,Torres Strait,N,Y
654,USA,California,N,N
655,PHILIPPINES,Leyte,N,Y
656,MALTA,Munxar Reef,N,Y
657,CROATIA,Lukovo,N,UNKNOWN
658,MEXICO,Tabasco,N,N
659,AUSTRALIA,South Australia,N,N
660,UNITED KINGDOM,Isle of Wight,N,Y
661,NEW ZEALAND,North Island,N,N
662,USA,Florida,N,N
663,BAHAMAS,Exuma Islands,N,UNKNOWN
664,ENGLAND,Cornwall,N,Y
665,AUSTRALIA,New South Wales,N,N
666,SOUTH AFRICA,Eastern Cape Province,N,N
667,AUSTRALIA,New South Wales,N,Y
668,AUSTRALIA,Torres Strait,N,Y
669,AUSTRALIA,Western Australia,N,Y
670,EQUATORIAL GUINEA / CAMEROON,Fernando Po Island,N,Y
671,IRAN,Shatt-al-Arab River,N,Y
672,AUSTRALIA,New South Wales,N,N
673,USA,California,N,N
674,AUSTRALIA,Western Australia,N,N
675,USA,Hawaii,N,N
676,SOLOMON ISLANDS,Santa Isabel Province,N,N
677,AUSTRALIA,New South Wales,N,Y
678,AUSTRALIA,Queensland,N,N
679,USA,Hawaii,N,N
680,SOUTH AFRICA,Eastern Cape Province,N,N
681,USA,Hawaii,N,N
682,USA,Florida,N,UNKNOWN
683,USA,Florida,N,N
684,NEW CALEDONIA,UNKNOWN,N,Y
685,USA,Florida,N,N
686,USA,Georgia,N,Y
