Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
"Boi Island, Victoria",Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,UNKNOWN,"Injury believed caused by an eel, not a shark"
Galapagos Islands,Snorkeling,M,45,Injuries to right foot,N,UNKNOWN,Galapagos shark?
Western Australia,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,UNKNOWN,2m shark
Western Australia,UNKNOWN,M,18,Injuries to right leg,N,08h00,Bull shark
UNKNOWN,Spearfishing,M,UNKNOWN,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m "
Queensland,Diving,M,UNKNOWN,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m
New South Wales,Free diving,M,28,"No injury, shark took his swimfin",N,UNKNOWN,"White shark, 3.5 m"
Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark
Western Australia,Surfing,M,UNKNOWN,Foot bitten,N,UNKNOWN,Wobbegong shark?
Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark
California,Surfing,F,35,Foot bitten,N,12h00,UNKNOWN
Sepang,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,UNKNOWN,Juvenile nurse shark
UNKNOWN,Snorkeling,F,25,Minor injury to arm,N,UNKNOWN,Nurse shark. 5
Cocos Island,Scuba Diving,M,26,Serious injury to leg,N,UNKNOWN,"Tiger shark, female"
Cocos Island,Scuba diving,F,49,FATAL,Y,UNKNOWN,"Tiger shark, female"
UNKNOWN,2 boats capsized,UNKNOWN,UNKNOWN,FATAL,Y,UNKNOWN,Some drowned but other may have been killed by blue sharks
California,Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m"
Florida,Surfing,F,14,Heel bitten,N,Late afternoon,UNKNOWN
UNKNOWN,Surfing,M,24,Puncture wounds to feet,N,UNKNOWN,UNKNOWN
New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark
Holquin Province,Night bathing,M,22,FATAL,Y,23h30,Tiger shark
Queensland,Snorkeling,M,7,Calf injured,N,UNKNOWN,Cookiecutter shark
New South Wales,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m"
Hawaii,Stand-Up Paddleboarding,M,UNKNOWN,No injury but shark bit SUP,N,15h00,UNKNOWN
Pamplemousses ,Swimming,M,UNKNOWN,Minor injury to foot,N,Afternoon,UNKNOWN
Florida,Surfing ,M,17,Lacerations to left foot,N,17h00,UNKNOWN
Florida,Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,UNKNOWN
South Australia,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m"
North Island,Kayaking,M,UNKNOWN,"No injury, shark shook kayak x3 ",N,09h00,2 m shark
Florida,Swimming,M,UNKNOWN,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet"
Hawaii,Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet"
Hawaii,Snorkeling,F,40,Abrasions,N,12h30,8 shark
Western Cape Province,Scuba Diving,M,31,FATAL,UNKNOWN,UNKNOWN,Death may have been due to drowning
Florida,Surfing,M,UNKNOWN,Lacerations to lower left leg and foot,N,Morning,5 shark
Western Australia,Surfing,M,UNKNOWN,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m"
New York,Surfing,M,33,"Lacerations to right ankle, foot & toe",UNKNOWN,15h30,Questionable
Florida,Surfing,M,UNKNOWN,Laceration to upper arm,N,14h00,4 to 5 shark
Florida,Surfing,M,UNKNOWN,Minor lacerations to sole of left foot,N,Morning,UNKNOWN
Canary Islands,Body surfing,M,13,Lacerations to right foot,N,UNKNOWN,"Porbeagle, 1.5 m"
Florida,Surfing,M,28,Lacerations to left foot,N,16h30,UNKNOWN
Western Cape Province,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",UNKNOWN,Afternoon,UNKNOWN
 Upolu Island,Fishing,M,UNKNOWN,Injuries to hands and legs,N,Night,UNKNOWN
Westerm Australia,Fishing,UNKNOWN,UNKNOWN,"sharks rammed boats, no injury to occupants",N,UNKNOWN,"White shark, 3.5m"
Florida,Surfing,M,18,Lacerations to left foot,N,18h45,5 to 6 shark
Westerm Australia,Swimming,M,UNKNOWN,Minor injuries,N,15h00,UNKNOWN
New South Wales,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m "
UNKNOWN,Spearfishing,M,UNKNOWN,Foot bitten,N,UNKNOWN,UNKNOWN
Western Cape Province,"Swimming, poaching abalone",M,UNKNOWN,FATAL,Y,Morning,UNKNOWN
Shizuoka Prefecture,Surfing,M,42,Injury to ankle & feet,N,10h00,UNKNOWN
Florida,Swimming,M,UNKNOWN,Lacerations to abdomen,N,UNKNOWN,Nurse shark
Texas,Swimming,F,UNKNOWN,Lacerations to foot,N,UNKNOWN,UNKNOWN
Florida,Surfing,M,17,Minor injury to right hand,N,10h44,UNKNOWN
Victoria,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m"
Florida,Wading,F,3,Leg injured,N,13h19,UNKNOWN
Castellón,Swimming,F,11,Lacerations to left foot,UNKNOWN,Midday,Shark involvement questionable
North Island,Canoeing,M,UNKNOWN,"No injury, shark bit canoe",N,UNKNOWN,UNKNOWN
Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5 to 7"
UNKNOWN,Spearfishing,M,UNKNOWN,Hand injured,N,15h00,5 shark
South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark
Red Sea Protectorate,Snorkeling,F,20,Bite to right leg/hip,N,UNKNOWN,"Oceanic whitetip shark, 1.8 to 2 m"
Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4 shark
California,Kayaking / Fishing,M,UNKNOWN,"No injury, bow of kayak bitten",N,10h45,"White shark, 10"
Florida,Skimboarding,M,15,Lacerations to lower leg,N,18h30,UNKNOWN
South Carolina,Swimming,M,10,Abrasions and cuts to sole of foot,UNKNOWN,15h00,A small shark
South Carolina,UNKNOWN,F,12,Bite to left thigh / minor injury,N,Afternoon,UNKNOWN
New Providence District,Snorkeling,F,UNKNOWN,Foot & ankle injured,N,UNKNOWN,UNKNOWN
40 miles off Grand Bahama Island,Spearfishing,M,UNKNOWN,Severe lacerations to left hand,N,UNKNOWN,UNKNOWN
Ascension Island,Surfing,M,37,Torso bitten,N,17h00,UNKNOWN
New Jersey,UNKNOWN,F,UNKNOWN,Minor injury to hand,N,UNKNOWN,Sandtiger shark  2
Majorca,Swimming,F,UNKNOWN,Abrasion to arm from sharks rough skin,N,Afternoon,Blue shark 6
Florida,UNKNOWN,F,40,Foot bitten,N,12h30,"""A small shark"""
South Carolina,Swimming,F,8,Foot injured,UNKNOWN,UNKNOWN,Shark involvement not confirmed
California,Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11 to 13"
California,SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8 to 10"
Washington,Surfing,M,UNKNOWN,Pulled off board by shark but no injury,N,18h30,"White shark, 9"
Western Australia,Surfing,M,UNKNOWN,"Minor injury, grazed by shark",N,11h45,UNKNOWN
California,Kayaking,M,UNKNOWN,"No injury, kayak bitten",N,11h00,White shark
Florida,Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4 to 5"
Tabasco,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,"Tiger shark, 100 kg"
Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m"
Anjouan,Fishing,UNKNOWN,UNKNOWN,"Skull found in shark, a probable drowning & scavenging",UNKNOWN,UNKNOWN,Shark involvement prior to death not confirmed
South Carolina,Fishing,M,UNKNOWN,"Arm injured by hook, not by a shark",UNKNOWN,19h30,No shark invovlement 
South Carolina,Swimming,F,16,Left foot bitten,N,UNKNOWN,UNKNOWN
Florida,Surfing,M,UNKNOWN,1 to 2-inch laceration behind knee,N,Morning,UNKNOWN
South Carolina,Swimming,F,14,Leg bitten,N,UNKNOWN,"Bull shark, 4 to 5"
UNKNOWN,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m"
Ibiza Island,Swimming,M,82,2-inch laceration to hand,N,12h00,UNKNOWN
Marquesas,Surfing,M,UNKNOWN,Injuries to hand and wrist,N,UNKNOWN,UNKNOWN
UNKNOWN,Feeding sharks,F,UNKNOWN,Fingernail pulled off ,N,UNKNOWN,UNKNOWN
Western Australia,Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m"
Victoria,Surfing,F,UNKNOWN,"No injury, knocked off board",N,15h45,Seven-gill shark
Florida,Surfing,M,19,Laceration to left foot,N,10h00,UNKNOWN
South Devon,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,UNKNOWN,"3m shark, probably a smooth hound"
Florida,Spearfishing,M,UNKNOWN,Laceration to shin,N,UNKNOWN,8 shark
New Providence ,Snorkeling,F,32,Right forearm severed ,N,UNKNOWN,Tiger shark
South Carolina,Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,3 shark
Florida,Feeding sharks,M,UNKNOWN,Lacerations to right arm,N,Morning,Tiger shark
New South Wales,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,UNKNOWN,UNKNOWN
"Sharjah, ",Spearfishing,M,41,Right leg severely bitten,N,Morning,UNKNOWN
Queensland,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,UNKNOWN,9 shark
Baja California Sur,Snorkeling,M,33,FATAL,Y,17h00,UNKNOWN
California,Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",UNKNOWN,14h30,Shark involvement highly doubtful
California,Swimming,F,UNKNOWN,Major injury to posterior thigh,N,17h34,UNKNOWN
Western Cape Province,Surfing,M,14,Minor injury to right calf,N,17h10,UNKNOWN
South Carolina,Surfing,F,33,Left foot bitten,N,11h00,UNKNOWN
Saint-Leu,Body boarding,M,28,FATAL,Y,11h15,UNKNOWN
South Island,Body boarding,F,UNKNOWN,Puncture wounds & laceration above knee,N,14h00,UNKNOWN
Florida,Photo shoot,F,UNKNOWN,Alleged laceration to left ankle,UNKNOWN,UNKNOWN,No shark invovlement - it ws a publicity stunt
Ascension Island,Snorkeling,F,40,Calf & foot bitten,N,16h00,UNKNOWN
South Carolina,Swimming,M,UNKNOWN,Laceration & puncture wounds to left foot,UNKNOWN,08h50,Shark involvement not confirmed
Florida,UNKNOWN,UNKNOWN,UNKNOWN,Minor bite to the foot,N,Afternoon,UNKNOWN
Western Australia,Surfing,F,17,FATAL,Y,16h00,White shark
Hawaii,Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12"
Florida,Surfing,M,17,Lacerations to right foot,N,13h30,UNKNOWN
Florida,Surfing,F,UNKNOWN,Lacerations to right foot,N,13h45,UNKNOWN
KwaZulu-Natal,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",UNKNOWN,UNKNOWN,Shark involvement prior to death not confirmed
Florida,Surfing,F,35,Calf bitten,N,16h00,UNKNOWN
Florida,Paddle boarding,F,10,Laceration to calf,N,17h45,UNKNOWN
Florida,Swimming,F,21,Minor injury to left hand,N,17h00,UNKNOWN
Florida,Swimming,M,16,Foot injured,N,UNKNOWN,UNKNOWN
Florida,Swimming,F,51,"Thigh nipped, minor injury",N,13h00,UNKNOWN
Queensland,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,UNKNOWN
Florida,Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5 to 7"
Florida,Surfing,M,58,Minor injury to left foot,N,10h00,UNKNOWN
New South Wales,Body boarding,M,30,Minor,N,18h30,UNKNOWN
California,Kayaking,M,UNKNOWN,"No injury, kayak bitten",N,14h30,White shark
Luzon Island,Spearfishing,M,25,Right thigh injured ,N,UNKNOWN,10 shark
Great Exuma,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,UNKNOWN,Lemon shark
Western Australia,Snorkeling,F,UNKNOWN,Hand bitten,N,Morning,"Bull shark, 1.5"
Western Australia,Surfing,M,UNKNOWN,"No injury, shark struck board",N,Morning,UNKNOWN
Saint-Andre,Body boarding,M,26,Fatal,Y,09h30,UNKNOWN
Queensland,Spearfishing,M,26,Left leg severely bitten,N,10h20,UNKNOWN
Florida,Swimming,M,22,Injury to hand,N,13h30,UNKNOWN
Pernambuco,Grabbing shark for a selfie,F,UNKNOWN,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup
KwaZulu-Natal,Kayak fishing,M,UNKNOWN,"Shark damaged kayak, no injury to occupant",N,UNKNOWN,Tiger shark
South Carolina,Tagging sharks,UNKNOWN,UNKNOWN,"Shark bit boat, no injury to occupants",N,UNKNOWN,"White shark, female, 14"
Bimini,Scuba Diving,M,37,Lacerations to upper right arm,N,UNKNOWN,Caribbean reef shark
Pernambuco,Swimming,M,21,Minor laceration to ring finger,N,13h20,UNKNOWN
Florida,UNKNOWN,M,UNKNOWN,Puncture wounds to lower arm or hand,N,14h00,UNKNOWN
Queensland,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m"
Queensland,Swimming,M,57,Injury to hand,N,13h30,UNKNOWN
Florida,UNKNOWN,M,UNKNOWN,Minor injury to hand,N,Morning,UNKNOWN
Bali,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m"
Queensland,Spearfishing,M,35,"No attack, shark made a threat display",UNKNOWN,UNKNOWN,Bull shark
Florida,Wading,M,47,Minor injuries to foot,N,12h30,UNKNOWN
New South Wales,Wading,M,20,Minor injuries to foot & toes,UNKNOWN,18h00,Shark involvement not confirmed
Florida,Surfing,M,16,Lacerations to right forearm,N,17h00,UNKNOWN
Western Australia,Snorkeling,F,UNKNOWN,Buttock bitten,N,Morning,a small shark
Western Cape Province,Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m"
Western Australia,Free diving,M,61,Punctures to left foot/ankle,N,09h30,UNKNOWN
Tuamotos,Fishing,M,UNKNOWN,Hand injured?,N,UNKNOWN,UNKNOWN
Florida,Surfing,M,19,Cuts to right ankle & foot,UNKNOWN,Afternoon,Shark involvement not confirmed
New South Wales,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m"
New South Wales,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark
Victoria,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m"
Hawaii,Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark
Florida,Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,UNKNOWN
Florida,Surfing,M,42,Lacerations to right hand,N,Afternoon,UNKNOWN
New South Wales,Surfing,M,36,Lacerations to left thigh,N,07h30,UNKNOWN
Hawaii,Surfing,M,36,Left arm and leg injured,N,17h00, 6 to 8 shark
Queensland,Surfing,M,UNKNOWN,Torso nipped,N,18h00,UNKNOWN
Hawaii,Snorkeling,F,66,Injuries to left calf,N,09h50,UNKNOWN
UNKNOWN,Cage Diving,M,UNKNOWN,"Shark breached cage, no injury to diver",UNKNOWN,UNKNOWN,White shark
New South Wales,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,UNKNOWN
Oregon,Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,UNKNOWN
Florida,Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,UNKNOWN
Florida,Surfng,M,32,Minor injuries,N,17h30,UNKNOWN
New South Wales,Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m"
Florida,Surfing,M,16,Minor injury to thigh,N,13h00,UNKNOWN
Florida,Surfing,M,36,Lacerations to hands,N,11h00,UNKNOWN
Florida,Surfing,M,43,Lacerations to lower leg,N,10h43,UNKNOWN
California,Surfing,M,43,"No injury, board bitten",N,UNKNOWN,UNKNOWN
Victoria,Surfing,M,UNKNOWN,Struck by fin on chest & leg,N,UNKNOWN,UNKNOWN
Victoria,Surfing,M,UNKNOWN,No injury: Knocked off board by shark,N,UNKNOWN,2 m shark
Western Australia,Fishing,UNKNOWN,UNKNOWN,Shark rammed boat. No injury to occupant,N,UNKNOWN,UNKNOWN
Florida,Wading,M,UNKNOWN,Minor injury to arm,N,15h15,3 to 4 shark
Hawaii,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10"
North Province,Kite surfing,M,50,FATAL,Y,15h40,UNKNOWN
South Carolina,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,UNKNOWN
Western Australia,Surfing,M,UNKNOWN,"No inury, board broken in half by shark",N,Late afternoon,UNKNOWN
Florida,Body boarding,M,9,Foot bitten,N,UNKNOWN,UNKNOWN
California,Spearfishing,M,22,Two toes broken & lacerated,N,UNKNOWN,"White shark, 8 to 10"
UNKNOWN,Cage Diving,UNKNOWN,UNKNOWN,"No injury to divers, white shark breached cage",UNKNOWN,UNKNOWN,Invalid
Florida,Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6"
Florida,Surfing,M,37,Minor injury to ankle,N,14h00,UNKNOWN
UNKNOWN,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m"
Florida,Wading,M,49,Minor injury to ankle,N,16h00,UNKNOWN
New Providence Island,Snorkeling,M,15,Lacerations to left leg,N,UNKNOWN,UNKNOWN
Hawaii,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10 "
Florida,Surfing,M,22,Big toe bitten,N,UNKNOWN,Blacktip shark
Alicante Province,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark
Hong Kong,Swimming,M,72,Lacerations to leg,N,UNKNOWN,UNKNOWN
Western Australia,Kayaking,M,UNKNOWN,"No injury, shark nudged kayak repeatedly",N,UNKNOWN,White shark
Florida,Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,UNKNOWN,"Nurse shark, 4"
New South Wales,Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,UNKNOWN
Kochi Prefecture,Surfing,M,29,Lacerations to left leg,N,19h05,UNKNOWN
Tasmania,Surfing,M,36,Calf bumped but no injury,N,UNKNOWN,UNKNOWN
Abaco Islands,Spearfishing,M,UNKNOWN,Lacerations to face and right leg,N,UNKNOWN,"Bull shark, 6"
Queensland,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,UNKNOWN,"reef shark, 1m"
Alabama,Fishing in Alabama Deep Fishing Rodeo,UNKNOWN,UNKNOWN,"No injury, shark bit trolling motor",N,UNKNOWN,"Tiger shark, 10 "
Florida,Surfing,F,9,Minor injury to leg,N,1300,UNKNOWN
Florida,UNKNOWN,F,11,Minor injury to toes,N,11h00,UNKNOWN
California,Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10 to 12"
South Carolina,Swimming,M,UNKNOWN,Puncture wounds to foot,N,UNKNOWN,UNKNOWN
UNKNOWN,Scuba Diving,M,UNKNOWN,Face bruised when partly blind shark collided with him,N,UNKNOWN,"Lemon shark, 9"
Canary Islands,Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,UNKNOWN,Angel shark
California,Fishing for squid,M,UNKNOWN,"No injury. Hull bitten, tooth fragment recovered",N,UNKNOWN,White shark
Massachusetts,Fishing,M,59,Fin of hooked shark injured fishermans forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark
California,Fishing for sharks,M,UNKNOWN,"No injury. Hull bitten, tooth fragment recovered",N,UNKNOWN,White shark
Florida,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,UNKNOWN,UNKNOWN
Queensland,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark
South Carolina,UNKNOWN,M,35,Minor injury,N,16h20,3 to 4 shark
North Carolina,Surfing,M,11,Foot injured,N,14h34,UNKNOWN
Isla Provedencia,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5"
Western Cape Province,Spearfishing,M,43,Injuries to left leg & right hand,N,UNKNOWN,White shark
South Carolina,Floating,M,42,Lacerations and punctures to foot,N,15h25,3 to 5 shark
Florida,Wading,M,UNKNOWN,Injuries to right calf,N,14h55,UNKNOWN
Hawaii,Surfing,M,UNKNOWN,Single puncture wound to arm,N,06h00,3 to 4 shark
Western Australia,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,UNKNOWN,5 shark
Texas,Floating in tube,F,6,Injury to lower leg,N,17h30,3 to 4 shark
North Carolina,Standing,M,19,Laceration to wrist,N,15h00,3 shark
South Carolina,Surfing,M,27,"No injury, board damaged",UNKNOWN,11h30,Said to involve an 8 shark but more likely damage caused by debris
Florida,Swimming,M,64,Leg bitten,N,08h30,UNKNOWN
Western Australia,Diving,F,60,FATAL,Y,11h30,3+ m shark
Suez,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark
New South Wales,Spearfishing,M,UNKNOWN,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN,UNKNOWN,Bronze whaler sharks x 3
UNKNOWN,Kite surfing,M,UNKNOWN,Laceration to heel,N,Afternoon,3 m shark
Western Australia,Surfing,M,29,FATAL,Y,16h00,White shark
California,Swimming,F,52,Injuries to arm and shoulder,N,16h00,UNKNOWN
Florida,Swimming,M,13,Injury to posterior right leg,N,15h45,5 shark
Florida,Swimming,F,57,Puncture wounds to thigh,N,12h00,UNKNOWN
Florida,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4 to 5"
Florida,Swimming,F,11,"Back, arm & hand injured",N,17h46,UNKNOWN
Florida,Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4"
Florida,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2"
Hawaii,Floating,M,59,Minor lacerations to right shoulder,N,15h49,UNKNOWN
North Island,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5] "
Bali,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6"
Florida,Surfing,M,15,Minor injury to left foot,N,17h30,UNKNOWN
Western Cape Province,Surf-skiing,M,UNKNOWN,"No injury, surf-ski bitten",N,08h00,White shark
New South Wales,Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark
Tuamotos,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,UNKNOWN,Morning,"Grey reef shark, 2 m"
Tuamotos,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Morning,"Grey reef shark, 2 m"
Florida,Spearfishing,M,26,Multiple bites to right arm,N,UNKNOWN,"Bull shark, 7"
Grand Terre,Walking,F,69,FATAL,Y,10h45,"Tiger shark, 2.5 m"
