Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,,
Alagoas,Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed,,
,Windsurfing,,,"No injury, shark bit board",N,17h00,2 m shark,,
,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,,
Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,,
Hawaii,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",,
Western Australia,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,,
Victoria,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,,
Victoria,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,,
KwaZulu-Natal,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,,
New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",,
Victoria,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,,,
New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",,
Queensland,Swimming,F,,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong,,
"Boi Island, Victoria",Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark",,
Galapagos Islands,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,,
Western Australia,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,2m shark,,
Western Australia,,M,18,Injuries to right leg,N,08h00,Bull shark,,
,Spearfishing,M,40s,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",,
Queensland,Diving,M,,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,,
New South Wales,Free diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",,
Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,,
Western Australia,Surfing,M,,Foot bitten,N,,Wobbegong shark?,,
Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,,
California,Surfing,F,35,Foot bitten,N,12h00,,,
Sepang,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark,,
,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',,
Cocos Island,Scuba Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",,
Cocos Island,Scuba diving,F,49,FATAL,Y,,"Tiger shark, female",,
,2 boats capsized,,,FATAL,Y,,Some drowned but other may have been killed by blue sharks,,
California,Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m",,
Florida,Surfing,F,14,Heel bitten,N,Late afternoon,,,
,Surfing,M,24,Puncture wounds to feet,N,,,,
New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,,
Holquin Province,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,,
Queensland,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,,
New South Wales,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",,
Hawaii,Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,15h00,,,
Pamplemousses ,Swimming,M,,Minor injury to foot,N,Afternoon,,,
Florida,Surfing ,M,17,Lacerations to left foot,N,17h00,,,
Florida,Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,,,
South Australia,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m",,
North Island,Kayaking,M,,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,,
Florida,Swimming,M,,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",,
Hawaii,Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",,
Hawaii,Snorkeling,F,40,Abrasions,N,12h30,8' shark,,
Western Cape Province,Scuba Diving,M,31,FATAL,,,Death may have been due to drowning,,
Florida,Surfing,M,,Lacerations to lower left leg and foot,N,Morning,5' shark,,
Western Australia,Surfing,M,,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",,
New York,Surfing,M,33,"Lacerations to right ankle, foot & toe",,15h30,Questionable,,
Florida,Surfing,M,,Laceration to upper arm,N,14h00,4' to 5' shark,,
Florida,Surfing,M,,Minor lacerations to sole of left foot,N,Morning,,,
Canary Islands,Body surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",,
Florida,Surfing,M,28,Lacerations to left foot,N,16h30,,,
Western Cape Province,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,Afternoon,,,
 Upolu Island,Fishing,M,,Injuries to hands and legs,N,Night,,,
Westerm Australia,Fishing,,,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m",,
Florida,Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,,
Westerm Australia,Swimming,M,,Minor injuries,N,15h00,,,
New South Wales,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ",,
,Spearfishing,M,,Foot bitten,N,,,,
Western Cape Province,"Swimming, poaching abalone",M,,FATAL,Y,Morning,,,
Shizuoka Prefecture,Surfing,M,42,Injury to ankle & feet,N,10h00,,,
Florida,Swimming,M,,Lacerations to abdomen,N,,Nurse shark,,
Texas,Swimming,F,,Lacerations to foot,N,,,,
Florida,Surfing,M,17,Minor injury to right hand,N,10h44,,,
Victoria,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m",,
Florida,Wading,F,3,Leg injured,N,13h19,,,
Castellón,Swimming,F,11,Lacerations to left foot,,Midday,Shark involvement questionable,,
North Island,Canoeing,M,,"No injury, shark bit canoe",N,,,,
Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",,
,Spearfishing,M,,Hand injured,N,15h00,5' shark,,
South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,,
Red Sea Protectorate,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",,
Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark,,
California,Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'",,
Florida,Skimboarding,M,15,Lacerations to lower leg,N,18h30,,,
South Carolina,Swimming,M,10,Abrasions and cuts to sole of foot,,15h00,A small shark,,
South Carolina,,F,12,Bite to left thigh / minor injury,N,Afternoon,,,
New Providence District,Snorkeling,F,,Foot & ankle injured,N,,,,
40 miles off Grand Bahama Island,Spearfishing,M,,Severe lacerations to left hand,N,,,,
Ascension Island,Surfing,M,37,Torso bitten,N,17h00,,,
New Jersey,,F,,Minor injury to hand,N,,Sandtiger shark  2',,
Majorca,Swimming,F,,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',,
Florida,,F,40,Foot bitten,N,12h30,"""A small shark""",,
South Carolina,Swimming,F,8,Foot injured,,,Shark involvement not confirmed,,
California,Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'",,
California,SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",,
Washington,Surfing,M,,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",,
Western Australia,Surfing,M,,"Minor injury, grazed by shark",N,11h45,,,
California,Kayaking,M,,"No injury, kayak bitten",N,11h00,White shark,,
Florida,Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",,
Tabasco,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg",,
Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",,
Anjouan,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,,Shark involvement prior to death not confirmed,,
South Carolina,Fishing,M,,"Arm injured by hook, not by a shark",,19h30,No shark invovlement ,,
South Carolina,Swimming,F,16,Left foot bitten,N,,,,
Florida,Surfing,M,,1 to 2-inch laceration behind knee,N,Morning,,,
South Carolina,Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'",,
,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",,
Ibiza Island,Swimming,M,82,2-inch laceration to hand,N,12h00,,,
Marquesas,Surfing,M,,Injuries to hand and wrist,N,,,,
,Feeding sharks,F,,Fingernail pulled off ,N,,,,
Western Australia,Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m",,
Victoria,Surfing,F,,"No injury, knocked off board",N,15h45,Seven-gill shark,,
Florida,Surfing,M,19,Laceration to left foot,N,10h00,,,
South Devon,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound",,
Florida,Spearfishing,M,,Laceration to shin,N,,8' shark,,
New Providence ,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,,
South Carolina,Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark,,
Florida,Feeding sharks,M,,Lacerations to right arm,N,Morning,Tiger shark,,
New South Wales,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,,,
"Sharjah, ",Spearfishing,M,41,Right leg severely bitten,N,Morning,,,
Queensland,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,,9' shark,,
Baja California Sur,Snorkeling,M,33,FATAL,Y,17h00,,,
California,Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,14h30,Shark involvement highly doubtful,,
California,Swimming,F,,Major injury to posterior thigh,N,17h34,,,
Western Cape Province,Surfing,M,14,Minor injury to right calf,N,17h10,,,
South Carolina,Surfing,F,33,Left foot bitten,N,11h00,,,
Saint-Leu,Body boarding,M,28,FATAL,Y,11h15,,,
South Island,Body boarding,F,20s,Puncture wounds & laceration above knee,N,14h00,,,
Florida,Photo shoot,F,,Alleged laceration to left ankle,,,No shark invovlement - it ws a publicity stunt,,
Ascension Island,Snorkeling,F,40,Calf & foot bitten,N,16h00,,,
South Carolina,Swimming,M,,Laceration & puncture wounds to left foot,,08h50,Shark involvement not confirmed,,
Florida,,,,Minor bite to the foot,N,Afternoon,,,
Western Australia,Surfing,F,17,FATAL,Y,16h00,White shark,,
Hawaii,Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",,
Florida,Surfing,M,17,Lacerations to right foot,N,13h30,,,
Florida,Surfing,F,,Lacerations to right foot,N,13h45,,,
KwaZulu-Natal,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,,Shark involvement prior to death not confirmed,,
Florida,Surfing,F,35,Calf bitten,N,16h00,,,
Florida,Paddle boarding,F,10,Laceration to calf,N,17h45,,,
Florida,Swimming,F,21,Minor injury to left hand,N,17h00,,,
Florida,Swimming,M,16,Foot injured,N,,,,
Florida,Swimming,F,51,"Thigh nipped, minor injury",N,13h00,,,
Queensland,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,,,
Florida,Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",,
Florida,Surfing,M,58,Minor injury to left foot,N,10h00,,,
New South Wales,Body boarding,M,30,Minor,N,18h30,,,
California,Kayaking,M,,"No injury, kayak bitten",N,14h30,White shark,,
Luzon Island,Spearfishing,M,25,Right thigh injured ,N,,10' shark,,
Great Exuma,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,,Lemon shark,,
Western Australia,Snorkeling,F,,Hand bitten,N,Morning,"Bull shark, 1.5",,
Western Australia,Surfing,M,,"No injury, shark struck board",N,Morning,,,
Saint-Andre,Body boarding,M,26,Fatal,Y,09h30,,,
Queensland,Spearfishing,M,26,Left leg severely bitten,N,10h20,,,
Florida,Swimming,M,22,Injury to hand,N,13h30,,,
Pernambuco,Grabbing shark for a selfie,F,,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup,,
KwaZulu-Natal,Kayak fishing,M,,"Shark damaged kayak, no injury to occupant",N,,Tiger shark,,
South Carolina,Tagging sharks,,,"Shark bit boat, no injury to occupants",N,,"White shark, female, 14'",,
Bimini,Scuba Diving,M,37,Lacerations to upper right arm,N,,Caribbean reef shark,,
Pernambuco,Swimming,M,21,Minor laceration to ring finger,N,13h20,,,
Florida,,M,Teen,Puncture wounds to lower arm or hand,N,14h00,,,
Queensland,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",,
Queensland,Swimming,M,57,Injury to hand,N,13h30,,,
Florida,,M,,Minor injury to hand,N,Morning,,,
Bali,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",,
Queensland,Spearfishing,M,35,"No attack, shark made a threat display",,,Bull shark,,
Florida,Wading,M,47,Minor injuries to foot,N,12h30,,,
New South Wales,Wading,M,20,Minor injuries to foot & toes,,18h00,Shark involvement not confirmed,,
Florida,Surfing,M,16,Lacerations to right forearm,N,17h00,,,
Western Australia,Snorkeling,F,,Buttock bitten,N,Morning,a small shark,,
Western Cape Province,Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",,
Western Australia,Free diving,M,61,Punctures to left foot/ankle,N,09h30,,,
Tuamotos,Fishing,M,40s,Hand injured?,N,,,,
Florida,Surfing,M,19,Cuts to right ankle & foot,,Afternoon,Shark involvement not confirmed,,
New South Wales,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m",,
New South Wales,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark,,
Victoria,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m",,
Hawaii,Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark,,
Florida,Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,,,
Florida,Surfing,M,42,Lacerations to right hand,N,Afternoon,,,
New South Wales,Surfing,M,36,Lacerations to left thigh,N,07h30,,,
Hawaii,Surfing,M,36,Left arm and leg injured,N,17h00, 6' to 8' shark,,
Queensland,Surfing,M,,Torso nipped,N,18h00,,,
Hawaii,Snorkeling,F,66,Injuries to left calf,N,09h50,,,
,Cage Diving,M,,"Shark breached cage, no injury to diver",,,White shark,,
New South Wales,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,,,
Oregon,Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,,,
Florida,Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,,,
Florida,Surfng,M,32,Minor injuries,N,17h30,,,
New South Wales,Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",,
Florida,Surfing,M,16,Minor injury to thigh,N,13h00,,,
Florida,Surfing,M,36,Lacerations to hands,N,11h00,,,
Florida,Surfing,M,43,Lacerations to lower leg,N,10h43,,,
California,Surfing,M,43,"No injury, board bitten",N,After noon,,,
Victoria,Surfing,M,,Struck by fin on chest & leg,N,,,,
Victoria,Surfing,M,,No injury: Knocked off board by shark,N,,2 m shark,,
Western Australia,Fishing,,,Shark rammed boat. No injury to occupant,N,,,,
Florida,Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark,,
Hawaii,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",,
North Province,Kite surfing,M,50,FATAL,Y,15h40,,,
South Carolina,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,,,
Western Australia,Surfing,M,,"No inury, board broken in half by shark",N,Late afternoon,,,
Florida,Body boarding,M,9,Foot bitten,N,,,,
California,Spearfishing,M,22,Two toes broken & lacerated,N,,"White shark, 8' to 10'",,
,Cage Diving,,,"No injury to divers, white shark breached cage",,,Invalid,,
Florida,Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",,
Florida,Surfing,M,37,Minor injury to ankle,N,14h00,,,
,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m",,
Florida,Wading,M,49,Minor injury to ankle,N,16h00,,,
New Providence Island,Snorkeling,M,15,Lacerations to left leg,N,,,,
Hawaii,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10' ",,
Florida,Surfing,M,22,Big toe bitten,N,,Blacktip shark,,
Alicante Province,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark,,
Hong Kong,Swimming,M,72,Lacerations to leg,N,,,,
Western Australia,Kayaking,M,,"No injury, shark nudged kayak repeatedly",N,,White shark,,
Florida,Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,,"Nurse shark, 4'",,
New South Wales,Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,,
Kochi Prefecture,Surfing,M,29,Lacerations to left leg,N,19h05,,,
Tasmania,Surfing,M,36,Calf bumped but no injury,N,,,,
Abaco Islands,Spearfishing,M,,Lacerations to face and right leg,N,,"Bull shark, 6'",,
Queensland,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m",,
Alabama,Fishing in Alabama Deep Fishing Rodeo,,,"No injury, shark bit trolling motor",N,,"Tiger shark, 10' ",,
Florida,Surfing,F,9,Minor injury to leg,N,1300,,,
Florida,,F,11,Minor injury to toes,N,11h00,,,
California,Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'",,
South Carolina,Swimming,M,,Puncture wounds to foot,N,,,,
,Scuba Diving,M,,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'",,
Canary Islands,Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark,,
California,Fishing for squid,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,,
Massachusetts,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,,
California,Fishing for sharks,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,,
Florida,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,,
Queensland,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,,
South Carolina,,M,35,Minor injury,N,16h20,3' to 4' shark,,
North Carolina,Surfing,M,11,Foot injured,N,14h34,,,
Isla Provedencia,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'",,
Western Cape Province,Spearfishing,M,43,Injuries to left leg & right hand,N,,White shark,,
South Carolina,Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,,
Florida,Wading,M,,Injuries to right calf,N,14h55,,,
Hawaii,Surfing,M,,Single puncture wound to arm,N,06h00,3' to 4' shark,,
Western Australia,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark,,
Texas,Floating in tube,F,6,Injury to lower leg,N,17h30,3' to 4' shark,,
North Carolina,Standing,M,19,Laceration to wrist,N,15h00,3' shark,,
South Carolina,Surfing,M,27,"No injury, board damaged",,11h30,Said to involve an 8' shark but more likely damage caused by debris,,
Florida,Swimming,M,64,Leg bitten,N,08h30,,,
Western Australia,Diving,F,60,FATAL,Y,11h30,3+ m shark,,
Suez,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark,,
New South Wales,Spearfishing,M,,"No injury, but sharks repeatedly hit their fins and guns",,,Bronze whaler sharks x 3,,
,Kite surfing,M,,Laceration to heel,N,Afternoon,3 m shark,,
Western Australia,Surfing,M,29,FATAL,Y,16h00,White shark,,
California,Swimming,F,52,Injuries to arm and shoulder,N,16h00,,,
Florida,Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark,,
Florida,Swimming,F,57,Puncture wounds to thigh,N,12h00,,,
Florida,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'",,
Florida,Swimming,F,11,"Back, arm & hand injured",N,17h46,,,
Florida,Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'",,
Florida,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'",,
Hawaii,Floating,M,59,Minor lacerations to right shoulder,N,15h49,,,
North Island,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5'] ",,
Bali,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6'",,
Florida,Surfing,M,15,Minor injury to left foot,N,17h30,,,
Western Cape Province,Surf-skiing,M,,"No injury, surf-ski bitten",N,08h00,White shark,,
New South Wales,Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark,,
Tuamotos,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,M,Morning,"Grey reef shark, 2 m",,
Tuamotos,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Morning,"Grey reef shark, 2 m",,
Florida,Spearfishing,M,26,Multiple bites to right arm,N,,"Bull shark, 7'",,
Grand Terre,Walking,F,69,FATAL,Y,10h45,"Tiger shark, 2.5 m",,
Boa Vista Island,,M,60,"""Serious""",,,Shark involvement not confirmed,,
Florida,Fishing,M,34,Left hand bitten,N,,5' to 6' shark,,
Florida,SUP,M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,,,,,
Hawaii,Snorkeling,F,46,Minor injury to left foot,N,11h00,,,
New South Wales,Surfing,M,22,Severe injury to thigh,N,19h00,,,
Florida,,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,,,Shark involvement not confirmed,,
New South Wales,Surfing,M,41,"No injury, board dented",N,11h00,,,
,,M,9,Minor injury to chest PROVOKED INCIDENT,N,,"Nurse shark, 2.5-ft",,
California,Surfing,,,Board reportedly bumped by shark. No injury,,Morning,Shark involvement not confirmed,,
Florida,Body surfing,M,19,Lacerations to right foot and ankle,N,13h30,,,
Vanua Levu,Diving for beche-de-mer,M,45,FATAL,Y,Afternoon,,,
Florida,,M,12,Superficial injury to foot,N,Afternoon,,,
South Australia,Fishing,M,,Puncture wounds to right calf,N,Midnight,Bronze whaler,,
Santa Catarina State,Swimming,M,41,Minor injury to head,N,,Sandtiger shark,,
South Province,Kite surfing,M,21,Puncture wounds to right thigh,N,19h00,,,
South Province,Spearfishing,M,31,Forearm bitten,N,16h00,,,
Altagracia Province,Wading,F,,Avulsion injury to lower leg,N,15h00,,,
Grand Cayman,Feeding stingrays?,M,65,Minor injury to wrist from Southern stingray,,,No shark involvement,,
Tasmania,Surfing,M,,"No injury, knocked off board",,12h30,No shark involvement,,
Queensland,Walking,F,45,Foot nipped,N,13h20,,,
New South Wales,Windsurfing,M,40,"No injury, shark bit board",N,Late afternoon,,,
Balneário Camboriú,Swimming,M,41,Lacerations to scalp,N,,Sandtiger shark,,
KwaZulu-Natal,Kayak fishing,M,,"No injury, shark capsized kayak",N,,,,
Hawaii,Surfing,M,,Lacerations to both hands,N,14h00,"Reef shark, 5'",,
Hawaii,Surfing,F,15,No injury,N,11h30,,,
Texas,Spearfishing,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,Bull sharks x 2,,
Fujairah Emirate,Fishing,M,,"No injury to occupants, shark leapt into boat",N,,Mako shark,,
Hawaii,Paddle boarding,M,48,No injury,N,Morning,"Tiger shark, 14'",,
Queensland,Surfing,M,,Laceration to right foot,N,,Wobbegong shark,,
Queensland,Wading,M,11,Laceration to right calf,N,Afternoon,Blacktip shark,,
Queensland,Spearfishing,M,31,Lacerations to arms & leg,N,11h30,3 m shark,,
KwaZulu-Natal,Kayak Fishing,M,,"No injury, kayak damaged",N,Morning,"White shark, 3 m",,
Grand Canary Island,Swimming,F,38,Lacerations to left forearm,N,,"Silky shark, 6.5'",,
Hawaii,Paddle boarding,M,71,"No injury, shark bit board",N,Morning,9' shark,,
New South Wales,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'",,
Pernambuco,Scuba diving,M,32,Right hand & part of forearm removed,N,,"Tiger shark, 1.5 m ",,
,Sea disaster,M,58,FATAL,Y,,,,
New South Wales,Fishing,,,"No injury, shark rammed boat & bit motor",N,10h30,"White shark, 3.5 m",,
,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N,,Bull shark,,
Eastern Cape Province,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning,,,
Galapagos Islands,Snorkeling,M,55,Lacerations to left calf,N,10h15,Galapagos shark,,
Florida,Surfing,M,,Right heel injured,N,Afternoon,,,
Florida,Swimming,F,,Leg injured,N,11h00,,,
Florida,Surfing,M,28,Lacerations to hand,N,,"Spinner shark, 7'",,
