,0
442,Rodrigues
443,Manus Island
444,Pinas Bay
445,Grand Turk Island
446,Off coast of West Africa
447,Sharon
448,Antalya Province
449,Northern District
450,"New Ireland Province, Bismarck Archipelago"
451,Cyclades
452,Viti Levu
453,"Off the Coromandel Peninsula, North Island"
454,Madang
455,Guadalcanal Province
456,"10ºS, 142ºE"
457,Kwajalein Atoll
458,East Flores
459,Guerrrero
460,Western Luzon Island
461,Shefa Province
462,165  miles from Bermuda
463,25 km off the coast of Iran & 483km from mouth of Persian Gulf
464,Venice Province
465,Sandaun Province
466,Anatolia
467,East New Britain Province
468,United Arab Emirates
469,Wake Island (EnenKio)
470,"19S, 178?E"
471,Pennsylvania
472,9.35N 79.35W
473,Roncador Bank
474,Western District
475,Enroute from Suez to Aden (Yemen)
476,180 miles southeast of Okinawa
477,Eniwetok Atoll
478,Cap-Vert Peninsula
479,Delagoa Bay
480,In the English Channel 
481,Cook Strait
482,"Unknown, treated at Wick, SCOTLAND"
483,Corregidor Island
484,Paget
485,"33N, 68W"
486,Casamance
487,Madang (WO)
488,"Between Timor & Darwin, Australia"
489,Pacific coast
490,St. Georges 
491,Eastern  Province
492,Northwest of Viti Levu
493,West New Britain Province
494,Rigo subdistrict
495,Masbate
496,400 miles southeast of Sri Lanka
497,Lomaiviti Province
498,Kadavu
499,Leyte Island
500,Orissa
501,Hokkaido Prefecture
502,North Palawan
503,Queaon
504,Istria
505,PANAMA
506,In the Gulf Stream 
507,Mersin Province
508,Guyamas
509,Between England & South Africa
510,Mindanao
511, Kikori River mouth
512,South Chungcheong Province
513,Ahirkapi coast
514,Tutuila Island
515,Primorje-Gorski Kotar County
516,Between Hawaii & Wake Island
517,Taipei Hsien
518,Ibaraki Prefecture
519,South Pacific Ocean
520,Canal Zone
521,"1,000 miles east of Hawaii"
522,Honiara
523,Yucatan Channel
524,Havana Province
525,Karun River
526,"Abau Subdistrict,Central Province"
527,"New Britain, Bismarck Archipelago"
528,Estuaire Province
529,"Near Dakar, Cap Vert Peninsula"
530,Near the Andaman & Nicobar Islands
531,Mozambique Channel
532,Tyrrenian Sea
533,Congreve Channel
534,St. Thomas Bay
535,Madeira
536,Between Comores & Madagascar
537,Corfu Island
538,1000 miles west of Hawaii
539,Izo Islands
540, Primorje-Gorski Kotar County
541,Open sea
542,Aden
543,"New Ireland, Bismarck Archipelago"
544,18S / 50E
545,Illinois
546,Isles del Rosario
547,Wake Island
548,Isle of Man
549,Nagasaki Prefecture
550,Liguaria
551,Slovenia
552,South shore 
553,Buenos Aires Province
554,330 to 350 miles east of Wake Island
555,Nova Scotia
556,Gulf of Panama
557,Genoa  Province
558,"Abau Sub District, Central Province"
559,Teramo
560,Red Sea State
561,Curacao
562,Port Louis Province
563,Montserrado
564,Bay of Maputu
565,Sofala Province
566,Salerno
567,Salerno Province
568,Taranto
569,Naples Province
570, La Libertad
571,Sago Prefecture
572,Savona
573,Southern Province
574,Jakarta Harbour
575,Singapore Harbor
576,Calabria
577,Shatt-el-Arab River
578,Shatt-al-Arab River
579,Tamaulipas
580,Calvados Archipelago
581,Shat-Al-Arab River
582,Between Kwajalein Atoll & Johnston Island
583,Attica
584,Adana Province
585,Bandar Ma’shur sea inlet
586,Saipan
587,Carpathian Sea
588,Kwajalein
589,Dar-es-Salaam 
590,"""Head of the Gulf"""
591,Ryukyu
592, North Carolina
593,In transit between Tinian and Leyte
594,Northern Java
595,Tel Aviv
596,Colon Province
597,300 miles east of Luzon
598,Bernardino Strait near Gulf of Leyte
599,Off Samar Island in the Gulf of Leyte
600,Lake Nicaragua (fresh water)
601,Pacific Ocean
602,Near the Fiji Islands
603,40 miles south of Naples 
604,Northwest of Papua New Guinea
605,Between Hawaii and U.S.A.
606,Off South American coast
607,Makora-Ulawa Province
608,04.05N-13.23W
609,Midway Atoll
610,300 miles east of St. Thomas (Virgin Islands)
611,West of Ceylon (Sri  Lanka)
612,East Java
613,Camiguin Island
614,Cay Sal Bank
615,(Southwestern Pacific)
616,Panama City
617,Off Libya
618,"North of Pernambuco, Brazil"
619,Off coast of Ecuador
620,Trelawney Province
621,In Convoy OB 274
622,New Georgia
623,Panama Bay (Pacific Ocean)
624,Bwagaoia
625,Western Papuan Gulf
626,Torres Strait 
627,Carabobo
628,Ascension Bay
629,North China
630,Lower San Juan River
631,Nicoya Peninsula
632,Basrah City
633,West Bengal
634,Queensland 
635,Argyllshire
636,Arran
637,Argyll
638,Fishing Grounds
639,Newfoundland
640,Isle of Wight
641,Makira-Uluwa Province
642,Northern (Oro) Province
643,Herzliyah
644,Elqui Province
645,Istanbul
646,St Michael Parish
647,Barlavento Islands
648,Viti Levu Island
649,Bay of Fundy
650,Manila
651,French Southern Territories
652,Niua 
653,Black River
654,Phoenix Islands
655,Cienfuegos Province
656,Valencia
657,Santiago Island
658,Near Puntarenas
659,Porto Seguro
660,Salinas Bay
661,Golfo di Genova in the Ligurian Sea
662,Sants-Montjic
663,South of the Equator 
664,Bay of Monaco
665,Valencia 
666,Vancouver
667,"2 to 3 miles off Taboguilla Island, Pacific Ocean"
668,Dorset
669,150 miles offshore
670,Galica
671,Demerara County
672,Vera Cruz
673, Manila Bay
674,Lucy
675,East Yorkshire
676,Westmoreland Parish
677,"Cavite Province, Luzon"
678,Cape Haitien
679,Leyte
680,Halifax
681,Turtle Bogue
682,60 miles north of San Domingo in the West Indies
683,Colon
684,Off Ireland
685,Mediterranean Sea
686,Gran Canaria
687,Apolima Strait
688,Essequibo
689,Lagos 
690,Trieste
691,5aint-Denis
692,Viti Levu group
693,Balearics
694,Málaga 
695,Chatham Islands
696,Georges Bank
697,Zambesi River
698,Colón Province
699,30 nm from Singapore
700,Andalucia
701,Sfax
702,South Atlantic Ocean
703,Galicia
704,Gulf of Suez
705,Java
706,Tiburon Peninsula
707,Oaxaca
708,Harare Province
709,Khánh Hòa Province
710,Maluku Province
711,Suez Canal
712, Nusa Tenggara
713,Between Noumea & Sydney
714,Villa Clara Province
715,Ancona Province
716,Quezon
717,Rio San Juan
718,Southern Cyprus
719,Syracuse
720,Western Viscayas
721,Mindoro Occidental
722,Negros 
723,Imperia Province
724,Muala
725,East coast
726,Ratak 
727,Socotra Islands
728,Off Cape Haitien
729,Moluccas
730,Bocas del Toro
731,Provence
732,Bay of Campeche
733,Rangoon
734,Bay of Bengal
735,Bayelsa State
736,South Island?
737,Norfolk Island
738,Brittany
739,Line Islands
740,Woodlark Islands
741,Munxar Reef
742,Northern Peloponnese
743,Between Perth & Colombo
744,Gujarat
745,Lukovo
746,Cortés
747,Gulf of California
748,"Somewhere between Philadelphia and Hiogo, Japan"
749, New Jersey
750,Côte d'Azur  
751,Maldonado coast
752,Western Banks
753,Andaman Islands
754,Off the coast of West Africa
755,Misamis Oriental
756,Strait of Messina
757,Hoogly River
758,Cyclades archipelago
759,Mount Lebanon
760,"Between Hastings & Fairlight, Sussex"
761,Veracruz 
762,Gilbert Islands
763,Lomaiviti Provine
764,Off the coast of South America
765,"22ºN, 88ºE"
766,Matanzas Province (north coast)
767,Alpes Maritime
768,Edinburgh
769,Eastern Catalona
770,300 miles east of Mauritius
771,Foveaux Strait
772,Sumatra
773,Conakry Region
774,Corfu
775,Malaga
776,Bonin Islands
777,Fernando Po Island
778,Mangaia Island
779,New York 
780,Corfu 
781,Between Australia & USA
782,Tongatapu
783,Norfolk
784,Island of St. Thomas
785,Cumberland
786,Sanma Province
787,35º39 : 165º8'
788,CUBA
789,Western Area 
790,Paraiba
791,Cape Coast
792,Rivers State
793,Maharashtra
794,St. Anne
795,St Helena
796,Côte d'Azur 
797,Skagerrak arm of the North Sea
798,Las Perlas archipelago
799,Bardestrand
800,Southwest coast
801,Kerala
802,Nice & Marseilles
803,Magarita or Cubagua Islands
804,Ionian Sea
805,Piraeus
806,Off Thessaly
807,Bocas del Toro Province
808,Rocha 
809,Gulf of Tadjoura
810,Cyrenaica
811,Northern Province
812,Los Roques  Islands
813,Dodecanese Islands
814,Malaita Province
815,South Korea
816,Milne Bay  Province
817,Island of Volos
818,Amirante Islands
819,Kadavu Island Group
820,Toamasina Province
821,Riau Province
822,Bikini Atoll
823,Between New Ireland & New Britain
824,Ba Ria-Vung Tau  Province
825,Moala Island
